tail_number,model_name,delivery_location ,army_command,unit_name ,current_location,contract_number,delivery_date,Remark ,active_status,warranty_period,formation
JM-1(001),JM-1,Agra,Central Command ,2 PARA SF,Dehradun,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(002),JM-1,Agra,Central Command ,2 PARA SF,Dehradun,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(003),JM-1,Agra,Central Command ,2 PARA SF,Dehradun,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(004),JM-1,Agra,Central Command ,2 PARA SF,Dehradun,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(005),JM-1,Agra,Central Command ,29 Para,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(006),JM-1,Agra,Central Command ,29 Para,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(007),JM-1,Agra,Central Command ,29 Para,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(008),JM-1,Agra,Central Command ,29 Para,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(009),JM-1,Agra,Central Command ,252 PARA AD,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(010),JM-1,Agra,Central Command ,29 Para,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(011),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(012),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(013),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(014),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(015),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(016),JM-1,Agra,Central Command ,7 PARA SF,AGRA,GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(017),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(018),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(019),JM-1,Agra,Central Command ,14 GUARDS,"PATIALA , PB",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(020),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(021),JM-1,Agra,Central Command ,14 GUARDS,"PATIALA , PB",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(022),JM-1,Agra,Central Command ,2 Grenadiers / 161 MED RGT,"FIROZPUR  / FARIDKOT , PB",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(023),JM-1,Agra,Central Command ,2 Grenadiers / 161 MED RGT,"FIROZPUR  / FARIDKOT , PB",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(024),JM-1,Agra,Central Command ,2 Grenadiers / 161 MED RGT,"FIROZPUR  / FARIDKOT , PB",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(025),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(026),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(027),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(028),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
JM-1(029),JM-1,Agra,Central Command ,1 PARA SF,"Sunjuwan Military Station,Jammu",GEMC-511687775037474 DT 04 JUN 2024,30/10/2024,,TRUE,24,
